Team,Player,Event,Mins,Secs,X,Y,X2,Y2
City,Rodri,Shot,0,0,78,38,-,-
City,Rodri,Shot,0,0,52,55,-,-
City,Stones,Header,0,0,93,50,-,-
City,Palmer,Shot,0,0,88,66,-,-
City,Palmer,Shot,0,0,86,73,-,-
City,Foden,Shot,0,0,92,56,-,-
City,Rodri,Header,0,0,96,35,-,-
Arsenal,Martinelli,Shot,0,0,92,36,-,-
Arsenal,Saka,Shot,0,0,90,70,-,-
Arsenal,Havertz,Shot,0,0,93,58,-,-
Arsenal,Trossard,Shot,0,0,87,71,-,-
Arsenal,Havertz,Shot,0,0,92,49,-,-
